assigned_memory,req_memory,avg_memory,max_memory,page_cache_memory,runtime_seconds,macro_cluster
0.0,0.0013027191162109,0.016143798828125,0.0191650390625,0.0024452209472656,0.176,0
0.00262451171875,0.00262451171875,9.441375732421876e-05,9.441375732421876e-05,6.67572021484375e-06,0.001,2
0.02081298828125,0.02081298828125,0.013275146484375,0.013336181640625,0.0002250671386718,0.3,1
0.0,0.0013027191162109,0.0069580078125,0.0104522705078125,0.0002956390380859,0.3,0
0.000227928161621,0.000223159790039,0.000152587890625,0.00018310546875,0.0,0.241,1
0.0,0.0001649856567382,0.000136375427246,0.0001382827758789,1.049041748046875e-05,0.3,0
0.0002326965332031,0.000192642211914,0.0001173019409179,0.0001182556152343,8.58306884765625e-06,0.004,2
0.0002317428588867,0.0002088546752929,8.58306884765625e-06,8.58306884765625e-06,0.0,0.002,2
0.0151824951171875,0.0136260986328125,0.000950813293457,0.0009517669677734,0.0017108917236328,0.006,2
0.0009651184082031,0.0009651184082031,0.0006608963012695,0.0006618499755859,0.0001230239868164,0.3,1
0.0,0.0013027191162109,0.0052871704101562,0.0052947998046875,0.0024795532226562,0.3,0
0.0390625,0.0390625,0.02423095703125,0.024505615234375,0.0001497268676757,0.3,1
0.0,0.00262451171875,0.0,0.0,0.0,0.002,2
0.0022773742675781,0.0022811889648437,0.0002574920654296,0.0002574920654296,0.0001354217529296,0.002,2
0.0052108764648437,0.0052108764648437,0.0010910034179687,0.0011062622070312,0.0003108978271484,0.3,0
0.0072250366210937,0.0072250366210937,0.0052261352539062,0.0052337646484375,0.0004892349243164,0.3,1
0.0065078735351562,0.0065078735351562,0.0013866424560546,0.0025978088378906,1.9073486328125e-06,0.002,2
0.0004348754882812,0.0003833770751953,0.0002698898315429,0.0002822875976562,4.76837158203125e-06,0.3,1
0.0003614425659179,0.0003108978271484,0.0002250671386718,0.0002603530883789,1.9073486328125e-06,0.3,1
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.00726318359375,0.0072555541992187,0.005401611328125,0.0054092407226562,0.0004854202270507,0.3,1
0.0107879638671875,0.0077667236328125,0.0074691772460937,0.0074920654296875,0.000314712524414,0.3,1
0.000227928161621,0.0002260208129882,0.000152587890625,0.00018310546875,0.0,0.241,1
0.000227928161621,0.0002260208129882,0.000152587890625,0.00018310546875,0.0,0.241,1
0.000441551208496,0.0003385543823242,0.0002832412719726,0.0003013610839843,0.0,0.3,1
0.0004348754882812,0.0003366470336914,0.0002698898315429,0.0002822875976562,4.76837158203125e-06,0.3,1
0.0052108764648437,0.0052108764648437,0.001220703125,0.0012226104736328,0.0005769729614257,0.3,0
0.0104217529296875,0.0104217529296875,6.580352783203125e-05,6.961822509765625e-05,2.86102294921875e-06,0.003,2
0.006500244140625,0.0065078735351562,0.0006999969482421,0.0007591247558593,0.0003204345703125,0.017,2
0.1875,0.1041259765625,0.129638671875,0.129638671875,0.0017356872558593,0.3,3
0.000227928161621,0.0002126693725585,0.000152587890625,0.00018310546875,0.0,0.241,1
0.0,0.0044326782226562,0.000157356262207,0.0001611709594726,3.24249267578125e-05,0.3,0
0.0,0.0013008117675781,0.0002384185791015,0.0002641677856445,9.5367431640625e-07,0.3,0
